Programa;Área;Linha de Pesquisa;Usuário;Segmento;Domínio;Subdomínio;Classificação;Score;Status;Tipo Classificação;Feedback;Data de Processamento
Engenharia Mecânica – POSMEC;Fabricação;Desenvolvimento de novos materiais para blindagem contra a interferência eletromagnética, sensores, dissipação de carga estática e proteção contra a corrosão de metais;;;17.Buckling, Vibrations and Acoustics;17.12;ACARE 2: Experimental Identification;0.24;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Desenvolvimento de novos materiais para blindagem contra a interferência eletromagnética, sensores, dissipação de carga estática e proteção contra a corrosão de metais;;Aircraft Avionics, Systems & Equipment (AVS);59.Environmental control System;59.4;ACARE 3: Recirculation system - CO, CO2 monitoring and removal;0.215;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Desenvolvimento de novos materiais para blindagem contra a interferência eletromagnética, sensores, dissipação de carga estática e proteção contra a corrosão de metais;;Ground, Test & Surface Systems;55.Infrastructure Optimization;55.1;NASA 1: Natural and Induced Environment Characterization and Mitigation;0.28;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Desenvolvimento de novos materiais para blindagem contra a interferência eletromagnética, sensores, dissipação de carga estática e proteção contra a corrosão de metais;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.5;NASA 2: Nondestructive Evaluation and Sensors;0.257;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Desenvolvimento de novos materiais para blindagem contra a interferência eletromagnética, sensores, dissipação de carga estática e proteção contra a corrosão de metais;;;56.Test and Qualification;56.3;NASA 3: Non-Destructive Inspection, Evaluation, and Root Cause Analysis;0.242;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.14;ACARE 1: Resin transfer moulding: composite structures;0.42;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.16;ACARE 2: Thermo-plastics: composite structures;0.401;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.2;ACARE 3: Sustainability of Materials;0.4;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.4;NASA 1: Resource Processing for Production of Manufacturing, Construction, and Energy Storage Feedstock Materials;0.362;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 2: Flexible Material Systems;0.357;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de compósitos poliméricos condutores por impressão 3D, moldagem por injeção e extrusão;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.4;NASA 3: Materials for Extreme Environments;0.352;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.2;ACARE 1: Sustainability of Materials;0.467;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.1;"ACARE 2: Sustainable Industrialization; Sustainability of Materials";0.394;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.4;ACARE 3: Environmentally Friendly Materials;0.365;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.4;NASA 1: Resource Processing for Production of Manufacturing, Construction, and Energy Storage Feedstock Materials;0.346;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.1;NASA 2: Manufacturing Processes;0.294;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de membranas poliméricas pelo processo de eletrofiação;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.2;NASA 3: Resource Acquisition, Isolation, and Preparation;0.281;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.16;ACARE 1: Thermo-plastics: composite structures;0.572;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.2;ACARE 2: Sustainability of Materials;0.503;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.4;ACARE 3: Environmentally Friendly Materials;0.462;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 1: Flexible Material Systems;0.458;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.4;NASA 2: Materials for Extreme Environments;0.378;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Projeto e fabricação de componentes de plástico;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.7;NASA 3: Special Materials;0.377;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.10;ACARE 1: Laser beam welding: metal structures;0.446;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;;50.Optics - Optronics - Lasers - Image processing and data fusion;50.6;ACARE 2: Optics sensors. enhanced vision sensors, light intensifiers, solid state lasers, MOEMS (Micro electro- optical mechanical systems);0.374;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.8;ACARE 3: Welding technologies;0.36;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.3;NASA 1: Electronics and Optics Manufacturing Process;0.403;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;;33.Remote Sensing Instruments and Sensors;33.5;NASA 2: Lasers;0.386;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Processos Convencionais e Avançados de Soldagem a Arco Elétrico, a LASER e híbridos;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.1;NASA 3: Manufacturing Processes;0.382;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;Aircraft Avionics, Systems & Equipment (AVS);61.Fuel systems;61.3;ACARE 1: Management system - level indicators, actuators, control system;0.383;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;Aerostructures (AST);21.Noise Reduction;21.3;ACARE 2: Automatics and real time systems for the study and for the realisation of controllers;0.357;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;Aircraft Avionics, Systems & Equipment (AVS);40.Avionics;40.3;ACARE 3: ACAS Automation and Use:;0.345;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;Thermal Management Systems;60.Thermal Control Components and Systems;60.8;NASA 1: Measurement and Control;0.34;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;;56.Test and Qualification;56.7;NASA 2: Test Instruments and Sensors;0.314;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Instrumentação, Automação, e Controle da Soldagem para Manufatura Avançada;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.1;NASA 3: Manufacturing Processes;0.31;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.6;ACARE 1: High speed machining: metal parts;0.348;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;;118.From Industry 4.0 to Industry 5.0;118.3;ACARE 2: Digital Manufacturing;0.268;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;;118.From Industry 4.0 to Industry 5.0;118.2;ACARE 3: Digital Factory;0.264;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 1: Food Production, Processing and Preservation;0.328;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;Materials, Structures, Mechanical Systems & Manufacturing;53.Manufacturing;53.1;NASA 2: Manufacturing Processes;0.318;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Metalurgia da Soldagem;;Ground, Test & Surface Systems;55.Infrastructure Optimization;55.3;NASA 3: Commodity Recovery;0.284;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;Flight Mechanics (FLM);65.Open-loop Aircraft Stability Analysis;65.2;ACARE 1: Mathematical modelling - equations of motion, aerodynamics, mass properties and geometry, taking into account modelling errors and uncertainties).;0.291;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;Flight Physics (FLP);1.Computational Fluid Dynamics;1.7;ACARE 2: Complex CFD applications;0.29;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.4;ACARE 3: Development of methods, tools and processes to support the integration of people with complex systems;0.28;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;;31.Mission Infrastructure, Sustainability and Supportability;31.3;NASA 1: Surface Construction and Assembly;0.237;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;Robotic Systems;16.Robotics Integration;16.1;NASA 2: Modularity, Commonality, and Interfaces;0.217;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Usinagem de formas geométricas complexas;;Sensors & Instruments;34.Observatories;34.2;NASA 3: Structures and Antennas;0.207;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;Integrated Design & Validation (IDV);72.On-board systems engineering;72.1;ACARE 1: Integration system technologies;0.458;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;;74.Flight/ Ground Tests;74.5;ACARE 2: Instrumentation system: Measurement , Data Acquisition and Recording equipment, Calibration;0.41;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;;103.Large scale validation Platforms;103.4;ACARE 3: Integrated platforms for system development, safety analysis and certification;0.395;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;Software, Modeling, Simulation & Information Processing;45.Modeling;45.2;NASA 1: Integrated Hardware and Software Modeling;0.416;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;Propulsion Systems;3.Aero Propulsion;3.1;NASA 2: Integrated Systems and Ancillary Technologies;0.385;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Integração de sistemas computacionais CAD/CAM/CAI/CAE/CAx;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.8;NASA 3: Software Analysis and Design Tools;0.382;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Aerostructures (AST);14.Advanced Manufacturing Processes & Technologies;14.16;ACARE 1: Thermo-plastics: composite structures;0.493;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.2;ACARE 2: Sustainability of Materials;0.469;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.4;ACARE 3: Environmentally Friendly Materials;0.421;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 1: Flexible Material Systems;0.415;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Exploration Destination Systems;30.In-Situ Resource Utilization;30.4;NASA 2: Resource Processing for Production of Manufacturing, Construction, and Energy Storage Feedstock Materials;0.343;Em análise;Original;;
Engenharia Mecânica – POSMEC;Fabricação;Fabricação de peças plásticas por injeção;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.4;NASA 3: Materials for Extreme Environments;0.339;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;Aerostructures (AST);19.Internal Noise prediction;19.1;ACARE 1: Material properties: Homogeneous material, heterogeneous structure, Composite material, viscoelastic media, multilayer, etc., Acoustic material, porous material, Material optimisation.;0.494;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;;17.Buckling, Vibrations and Acoustics;17.9;"ACARE 2: Material properties: Homogeneous material, composites, viscoelastic media, multilayer, etc.; Acoustic material";0.49;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;Aerostructures (AST);15.Structural Analysis and Design;15.1;ACARE 3: Metallic Material constitutive laws (linear elasticity, plasticity, viscolelasticity);0.421;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 1: Flexible Material Systems;0.356;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;Materials, Structures, Mechanical Systems & Manufacturing;52.Mechanical Systems;52.2;NASA 2: Electro-Mechanical, Mechanical, and Micromechanisms;0.271;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Caracterização dinâmica de materiais viscoelásticos;;;56.Test and Qualification;56.1;NASA 3: Mechanical/Structural Integrity Testing;0.266;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;;17.Buckling, Vibrations and Acoustics;17.1;"ACARE 1: Structural dynamic modelling: Material modelling (viscoelastic media, composites, multilayer structure); Numerical method( (Analytical, Finite Element analysis), Statistic Energy Analysis); Linear and non linear analysis; Damping modelling; Structure internal fluid interaction (sloshing).";0.369;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;Aerostructures (AST);16.Aero-elasticity;16.2;ACARE 2: Dynamic aeroelasticity: Structural dynamic (linear and non linear), Unsteady aerodynamic (linear and non linear), Fluid structure coupling, Fluid structure systems coupling, Flutter, Forced response.;0.31;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;Aerostructures (AST);19.Internal Noise prediction;19.1;ACARE 3: Material properties: Homogeneous material, heterogeneous structure, Composite material, viscoelastic media, multilayer, etc., Acoustic material, porous material, Material optimisation.;0.309;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 1: Flexible Material Systems;0.288;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.1;NASA 2: Loads and Vibration;0.202;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle modal de vibrações e som irradiado de estruturas complexas por neutralizadores viscoelásticos;;Robotic Systems;14.Human-Robot Interaction;14.1;NASA 3: Multi-Modal and Proximate Interaction;0.2;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Flight Physics (FLP);5.Wing Design;5.6;ACARE 1: Flexible wing;0.362;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Aircraft Avionics, Systems & Equipment (AVS);56.Electrical Power Generation, Distribution & Actuation;56.5;ACARE 2: Elecromechanical actuation (EMA) - Flight control systems;0.338;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Aerostructures (AST);21.Noise Reduction;21.2;ACARE 3: Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials, electrostrictive ceramics... and their mechanical modellisation.;0.332;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Materials, Structures, Mechanical Systems & Manufacturing;50.Materials;50.3;NASA 1: Flexible Material Systems;0.325;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Guidance, Navigation & Control (GN&C);72.Control Technologies;72.4;NASA 2: Control Force/Torque Actuators;0.298;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle ativo de vibrações de estruturas flexíveis;;Thermal Management Systems;60.Thermal Control Components and Systems;60.8;NASA 3: Measurement and Control;0.296;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 1: Cordierite;0.23;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Aerostructures (AST);21.Noise Reduction;21.2;ACARE 2: Techniques in relation with actuators and sensors such as piezoelectric or piezoceramic materials, electrostrictive ceramics... and their mechanical modellisation.;0.224;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Aerostructures (AST);11.Metallic Materials & basic processes;11.9;ACARE 3: Microscopical analyses;0.214;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.2;NASA 1: Vibroacoustics;0.329;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 2: Food Production, Processing and Preservation;0.188;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Ruído e vibrações veiculares;;Propulsion Systems;1.Chemical Propulsion;1.6;NASA 3: Gels;0.159;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;;82.Security / Risk analysis;82.3;ACARE 1: Security audits (of airlines, airports);0.364;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;Aircraft Avionics, Systems & Equipment (AVS);61.Fuel systems;61.3;ACARE 2: Management system - level indicators, actuators, control system;0.322;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;Integrated Design & Validation (IDV);96.Business modelling;96.2;ACARE 3: Use of business modelling methods and tools (e.g. yield/revenue management);0.293;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;Aerospace Power & Energy Storage;10.Power Management and Distribution;10.1;NASA 1: Management and Control;0.334;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;Autonomous Systems;41.Reasoning and Acting;41.4;NASA 2: Execution and Control;0.297;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Controle de ruído / protetores auditivos;;Software, Modeling, Simulation & Information Processing;44.Software Development, Engineering and Integrity;44.4;NASA 3: Operational Assurance;0.286;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;;113.Human Survivability, Protection and Stress Effects;113.3;ACARE 1: Health and safety/occupational health aspects for ground crew (methods, facilities, evaluation);0.222;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.6;ACARE 2: Anthropometric studies;0.213;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;Aircraft Avionics, Systems & Equipment (AVS);58.Passenger and freight systems;58.3;ACARE 3: Restraints - airbags, seat belts, child restraints, analysis of operational effectiveness;0.2;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;Human Health, Life Support & Habitation;25.Extravehicular Activity Systems;25.4;NASA 1: Decompression Sickness Mitigation;0.209;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.7;NASA 2: System Transformative Health and Performance Concepts;0.177;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Manutenção preditiva e detecção de defeitos em máquinas rotativas por vibrações;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.2;NASA 3: Prevention and Countermeasures;0.157;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 1: Cordierite;0.263;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Aircraft Avionics, Systems & Equipment (AVS);43.Warning Systems;43.2;ACARE 2: Sensors. airborne collision avoidance systems (ACAS);0.234;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Aircraft Avionics, Systems & Equipment (AVS);40.Avionics;40.3;ACARE 3: ACAS Automation and Use:;0.232;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.2;NASA 1: Vibroacoustics;0.316;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 2: Food Production, Processing and Preservation;0.257;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica submarina;;Flight Vehicle Systems;62.Aerosciences;62.4;NASA 3: Aeroacoustics;0.244;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.6;ACARE 1: Cordierite;0.27;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;;17.Buckling, Vibrations and Acoustics;17.9;"ACARE 2: Material properties: Homogeneous material, composites, viscoelastic media, multilayer, etc.; Acoustic material";0.229;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;Innovative Concepts & Scenarios (ICS);115.Scenarios analysis;115.1;ACARE 3: Identification of drivers of change (technological, demographic, cultural, political);0.225;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;Materials, Structures, Mechanical Systems & Manufacturing;54.Structural Dynamics;54.2;NASA 1: Vibroacoustics;0.28;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;Flight Vehicle Systems;62.Aerosciences;62.4;NASA 2: Aeroacoustics;0.265;Em análise;Original;;
Engenharia Mecânica – POSMEC;Vibrações e Acústica;Acústica estrutural;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.5;NASA 3: Food Production, Processing and Preservation;0.21;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;Human Factors (HFA);109.Human Factors Integration, Man-machine Interface;109.4;ACARE 1: Development of methods, tools and processes to support the integration of people with complex systems;0.239;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;;52.Aircraft health and usage monitoring system;52.1;ACARE 2: Application of prognostic health management to improve condition-based maintenance;0.192;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;;113.Human Survivability, Protection and Stress Effects;113.4;ACARE 3: Health and safety/occupational health aspects for passengers (methods, facilities, evaluation);0.165;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;Human Health, Life Support & Habitation;26.Human Health and Performance;26.7;NASA 1: System Transformative Health and Performance Concepts;0.278;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;;35.In-Situ Instruments and Sensors;35.6;NASA 2: Extreme Environments Related to Critical System Health Management;0.209;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Meios e métodos de medição;;Communications, Navigation & Debris Tracking;17.Optical Communications;17.6;NASA 3: Optimetrics;0.188;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Gestão da medição;;Integrated Design & Validation (IDV);104.EcoDesign and Engineering for Sustainability;104.6;ACARE 1: Lifetime Services;0.195;Em análise;Original;;
Engenharia Mecânica – POSMEC;Metrologia e Instrumentação;Gestão da medição;;Aerostructures (AST);12.Non-Metallic Materials & basic processes;12.4;ACARE 2: Glass and glass-ceramics;0.183;Em análise;Original;;
